2026-07-21 18:36:56 | cloud | cloud_post_close | DONE
2026-07-21 20:51:32 | cloud | cloud_intraday | DONE
2026-07-22 13:56:20 | cloud | cloud_intraday | DONE
2026-07-22 16:23:54 | cloud | cloud_intraday | DONE
2026-07-22 17:18:14 | cloud | cloud_post_close | DONE
2026-07-22 17:34:17 | cloud | cloud_intraday | DONE
2026-07-22 17:57:55 | cloud | cloud_post_close | DONE
2026-07-22 18:35:03 | cloud | cloud_post_close | DONE
2026-07-22 18:39:27 | cloud | cloud_post_close | DONE
2026-07-22 19:45:47 | cloud | cloud_scanner | DONE
2026-07-22 20:56:25 | cloud | cloud_scanner | DONE
2026-07-23 08:05:59 | cloud | cloud_intraday | DONE
2026-07-23 08:47:36 | cloud | cloud_intraday | DONE
2026-07-23 13:16:59 | cloud | cloud_intraday | DONE
2026-07-23 13:54:28 | cloud | cloud_intraday | DONE
2026-07-23 18:00:52 | cloud | cloud_post_close | DONE
2026-07-23 18:55:14 | cloud | cloud_post_close | DONE
2026-07-23 19:01:23 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-23 19:18:18 | cloud | cloud_intraday | DONE
2026-07-23 19:37:20 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-23 19:39:57 | cloud | cloud_intraday | DONE
2026-07-23 19:57:26 | cloud | cloud_post_close | DONE
2026-07-23 20:13:11 | cloud | cloud_intraday | DONE
2026-07-23 20:17:02 | cloud | cloud_scanner | DONE
2026-07-23 21:15:35 | cloud | cloud_intraday | DONE
2026-07-23 22:16:18 | cloud | cloud_intraday | DONE
2026-07-24 13:20:27 | cloud | cloud_intraday | DONE
2026-07-24 14:45:04 | cloud | cloud_intraday | DONE
2026-07-24 17:30:40 | xiaojiu | crisis_17_35 | SKIP | update_time=2026-07-23 17:31:17 | diff=86353s < 24h
2026-07-24 18:29:51 | cloud | cloud_post_close | DONE
2026-07-24 18:33:08 | cloud | cloud_post_close | DONE
2026-07-24 19:25:25 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-25 15:56:13 | cloud | cloud_post_close | DONE
2026-07-25 16:55:21 | cloud | cloud_post_close | DONE
2026-07-25 17:17:17 | cloud | cloud_post_close | DONE
2026-07-25 17:51:11 | cloud | cloud_post_close | DONE
2026-07-25 18:01:24 | cloud | cloud_post_close | DONE
2026-07-25 18:58:03 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-25 19:45:09 | cloud | cloud_scanner | DONE
2026-07-25 20:20:41 | cloud | cloud_scanner | DONE
2026-07-26 16:28:05 | cloud | cloud_post_close | DONE
2026-07-26 17:30:20 | cloud | cloud_post_close | DONE
2026-07-26 18:10:33 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-26 18:14:59 | cloud | cloud_post_close | DONE
2026-07-26 18:19:04 | cloud | cloud_post_close | DONE
2026-07-26 19:04:07 | cloud | cloud_post_close | DONE
2026-07-26 19:09:28 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-26 19:48:03 | cloud | cloud_scanner | DONE
2026-07-26 20:14:23 | cloud | cloud_post_close | DONE
2026-07-27 10:54:33 | cloud | cloud_intraday | DONE
2026-07-27 13:25:42 | cloud | cloud_intraday | DONE
2026-07-27 14:15:05 | cloud | cloud_intraday | DONE
2026-07-27 15:07:55 | cloud | cloud_intraday | DONE
2026-07-27 19:39:36 | cloud | cloud_post_close | DONE
2026-07-27 19:49:43 | cloud | cloud_post_close | DONE
2026-07-27 20:52:36 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-27 21:35:04 | cloud | cloud_scanner | DONE
2026-07-28 12:57:02 | cloud | cloud_intraday | DONE
2026-07-28 13:53:42 | cloud | cloud_intraday | DONE
2026-07-28 16:30:44 | cloud | cloud_intraday | DONE
2026-07-28 18:04:22 | cloud | cloud_post_close | DONE
2026-07-28 18:46:45 | cloud | cloud_post_close | DONE
2026-07-28 19:00:19 | cloud | cloud_post_close | DONE
2026-07-28 19:42:37 | cloud | cloud_data_fetch_17_31 | DONE
2026-07-28 20:27:39 | cloud | cloud_scanner | DONE
2026-07-29 13:14:47 | cloud | cloud_intraday | DONE
2026-07-29 14:03:28 | cloud | cloud_intraday | DONE
